run_accession	sample_name
ERR1369650	1939.SKBTI.0640
ERR1369651	1939.SKBTI.0641.a
ERR1369653	1939.SKBTI.0642
ERR1369658	1939.SKBTI.0648
ERR1369659	1939.SKBTI.0650
ERR1369675	1939.SKBTI.0667
ERR1369704	1939.SKBTI.0715
ERR1369718	1939.SKBTI.0739
ERR1369739	1939.SKBTI.0765
ERR1369740	1939.SKBTI.0766
ERR1369750	1939.SKBTI.0870
ERR1369755	1939.SKBTI.0878
ERR1369762	1939.SKBTI.0888
ERR1369765	1939.SKBTI.0891
ERR1369766	1939.SKBTI.0892
ERR1369781	1939.SKBTI.0922
ERR1369796	1939.SKBTI.0940
ERR1369802	1939.SKBTI.0949
ERR1369814	1939.SKBTI.0967
ERR1369826	1939.SKBTI.0981
ERR1369829	1939.SKBTI.0984
ERR1369844	1939.SKBTI.1003
ERR1369851	1939.SKBTI.1011
ERR1369859	1939.SKBTI.1019
ERR1369862	1939.SKBTI.1022
ERR1369865	1939.SKBTI.1025
ERR1369866	1939.SKBTI.1026
ERR1369867	1939.SKBTI.1028
ERR1369892	1939.SKBTI.1054
ERR1369913	1939.SKBTI.1077
ERR1369922	1939.SKBTI.1089
ERR1369934	1939.SKBTI.1105
ERR1369936	1939.SKBTI.1108
ERR1369959	1939.SKBTI.1136
ERR1369971	1939.SKBTI.1152
ERR1369974	1939.SKBTI.1160
ERR1369976	1939.SKBTI.1165
ERR1369981	1939.SKBTI.1171
ERR1369983	1939.SKBTI.1173
ERR1369989	1939.SKBTI.1180
ERR1369991	1939.SKBTI.1183
ERR1369992	1939.SKBTI.1184
ERR1369995	1939.SKBTI.1187
ERR1369997	1939.SKBTI.1189
ERR1369999	1939.SKBTI.1192
ERR1370011	1939.SKBTI.1206
ERR1370013	1939.SKBTI.1208
ERR1370017	1939.SKBTI.1213
ERR1370019	1939.SKBTI.1215
ERR1370021	1939.SKBTI.1218
ERR1370025	1939.SKBTI.1223
ERR1370028	1939.SKBTI.1226
ERR1370030	1939.SKBTI.1228
ERR1370032	1939.SKBTI.1230
ERR1370038	1939.SKBTI.1238
ERR1370040	1939.SKBTI.1241
ERR1370043	1939.SKBTI.1245
ERR1370053	1939.SKBTI.1257
ERR1370054	1939.SKBTI.1258
ERR1370057	1939.SKBTI.1261
ERR1370064	1939.SKBTI.1269
ERR1370072	1939.SKBTI.1281
ERR1370073	1939.SKBTI.1282
ERR1370076	1939.SKBTI.1285
ERR1370081	1939.SKBTI.1291
ERR1370082	1939.SKBTI.1292
ERR1370084	1939.SKBTI.1294
ERR1370086	1939.SKBTI.1296
ERR1370088	1939.SKBTI.1299
ERR1370089	1939.SKBTI.1301
ERR1370090	1939.SKBTI.1302
ERR1370092	1939.SKBTI.1305
ERR1370094	1939.SKBTI.1307
ERR1370100	1939.SKBTI.1313
